"Kod";"Nazwa";"Zaplecze konferencyjne";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
2000000;"PODLASKIE";"z projektorem multimedialnym";"2021";80;"ob.";""
2000000;"PODLASKIE";"z zestawem do wideokonferencji";"2009";;"ob.";""
2000000;"PODLASKIE";"z zestawem do wideokonferencji";"2013";;"ob.";""
2000000;"PODLASKIE";"z zestawem do wideokonferencji";"2017";32;"ob.";""
2000000;"PODLASKIE";"z zestawem do wideokonferencji";"2021";41;"ob.";""
2000000;"PODLASKIE";"z rzutnikiem slajdów";"2009";;"ob.";""
2000000;"PODLASKIE";"z rzutnikiem slajdów";"2013";61;"ob.";""
2000000;"PODLASKIE";"z rzutnikiem slajdów";"2017";;"ob.";""
2000000;"PODLASKIE";"z rzutnikiem slajdów";"2021";;"ob.";""
2000000;"PODLASKIE";"z zestawem wideo";"2009";;"ob.";""
2000000;"PODLASKIE";"z zestawem wideo";"2013";49;"ob.";""
2000000;"PODLASKIE";"z zestawem wideo";"2017";;"ob.";""
2000000;"PODLASKIE";"z zestawem wideo";"2021";;"ob.";""
2000000;"PODLASKIE";"z obsługą techniczną";"2009";43;"ob.";""
2000000;"PODLASKIE";"z obsługą techniczną";"2013";46;"ob.";""
2000000;"PODLASKIE";"z obsługą techniczną";"2017";60;"ob.";""
2000000;"PODLASKIE";"z obsługą techniczną";"2021";63;"ob.";""
2000000;"PODLASKIE";"z ekranem";"2009";60;"ob.";""
2000000;"PODLASKIE";"z ekranem";"2013";70;"ob.";""
2000000;"PODLASKIE";"z ekranem";"2017";89;"ob.";""
2000000;"PODLASKIE";"z ekranem";"2021";86;"ob.";""
2000000;"PODLASKIE";"z flipchartem (tablica suchościeralna)";"2009";46;"ob.";""
2000000;"PODLASKIE";"z flipchartem (tablica suchościeralna)";"2013";61;"ob.";""
2000000;"PODLASKIE";"z flipchartem (tablica suchościeralna)";"2017";87;"ob.";""
2000000;"PODLASKIE";"z flipchartem (tablica suchościeralna)";"2021";73;"ob.";""
2000000;"PODLASKIE";"z rzutnikiem pisma";"2009";;"ob.";""
2000000;"PODLASKIE";"z rzutnikiem pisma";"2013";43;"ob.";""
2000000;"PODLASKIE";"z rzutnikiem pisma";"2017";;"ob.";""
2000000;"PODLASKIE";"z rzutnikiem pisma";"2021";;"ob.";""
2000000;"PODLASKIE";"z komputerem/laptopem na wyposażeniu";"2009";;"ob.";""
2000000;"PODLASKIE";"z komputerem/laptopem na wyposażeniu";"2013";57;"ob.";""
2000000;"PODLASKIE";"z komputerem/laptopem na wyposażeniu";"2017";70;"ob.";""
2000000;"PODLASKIE";"z komputerem/laptopem na wyposażeniu";"2021";62;"ob.";""
2000000;"PODLASKIE";"z siecią WiFi na terenie obiektu";"2009";;"ob.";""
2000000;"PODLASKIE";"z siecią WiFi na terenie obiektu";"2013";88;"ob.";""
2000000;"PODLASKIE";"z siecią WiFi na terenie obiektu";"2017";190;"ob.";""
2000000;"PODLASKIE";"z siecią WiFi na terenie obiektu";"2021";132;"ob.";""
2000000;"PODLASKIE";"z komputerem";"2009";47;"ob.";""
2000000;"PODLASKIE";"z komputerem";"2013";;"ob.";""
2000000;"PODLASKIE";"z komputerem";"2017";;"ob.";""
2000000;"PODLASKIE";"z komputerem";"2021";;"ob.";""
2000000;"PODLASKIE";"z zestawem audio-wideo";"2009";51;"ob.";""
2000000;"PODLASKIE";"z zestawem audio-wideo";"2013";;"ob.";""
2000000;"PODLASKIE";"z zestawem audio-wideo";"2017";;"ob.";""
2000000;"PODLASKIE";"z zestawem audio-wideo";"2021";;"ob.";""
2000000;"PODLASKIE";"z rzutnikiem/projektorem";"2009";57;"ob.";""
2000000;"PODLASKIE";"z rzutnikiem/projektorem";"2013";;"ob.";""
2000000;"PODLASKIE";"z rzutnikiem/projektorem";"2017";;"ob.";""
2000000;"PODLASKIE";"z rzutnikiem/projektorem";"2021";;"ob.";""
2200000;"POMORSKIE";"z salą konferencyjną";"2009";251;"ob.";""
2200000;"POMORSKIE";"z salą konferencyjną";"2013";330;"ob.";""
2200000;"POMORSKIE";"z salą konferencyjną";"2017";327;"ob.";""
2200000;"POMORSKIE";"z salą konferencyjną";"2021";289;"ob.";""
2200000;"POMORSKIE";"liczba sal konferencyjnych";"2009";539;"szt.";""
2200000;"POMORSKIE";"liczba sal konferencyjnych";"2013";637;"szt.";""
2200000;"POMORSKIE";"liczba sal konferencyjnych";"2017";645;"szt.";""
2200000;"POMORSKIE";"liczba sal konferencyjnych";"2021";624;"szt.";""
2200000;"POMORSKIE";"liczba miejsc w salach konferencyjnych";"2009";31272;"msc.";""
2200000;"POMORSKIE";"liczba miejsc w salach konferencyjnych";"2013";42541;"msc.";""
2200000;"POMORSKIE";"liczba miejsc w salach konferencyjnych";"2017";42020;"msc.";""
2200000;"POMORSKIE";"liczba miejsc w salach konferencyjnych";"2021";39384;"msc.";""
2200000;"POMORSKIE";"z nagłośnieniem";"2009";196;"ob.";""
2200000;"POMORSKIE";"z nagłośnieniem";"2013";264;"ob.";""
2200000;"POMORSKIE";"z nagłośnieniem";"2017";287;"ob.";""
2200000;"POMORSKIE";"z nagłośnieniem";"2021";229;"ob.";""
2200000;"POMORSKIE";"z mikrofonem bezprzewodowym";"2009";179;"ob.";""
2200000;"POMORSKIE";"z mikrofonem bezprzewodowym";"2013";236;"ob.";""
2200000;"POMORSKIE";"z mikrofonem bezprzewodowym";"2017";255;"ob.";""
2200000;"POMORSKIE";"z mikrofonem bezprzewodowym";"2021";216;"ob.";""
2200000;"POMORSKIE";"z projektorem multimedialnym";"2009";;"ob.";""
2200000;"POMORSKIE";"z projektorem multimedialnym";"2013";;"ob.";""
2200000;"POMORSKIE";"z projektorem multimedialnym";"2017";269;"ob.";""
2200000;"POMORSKIE";"z projektorem multimedialnym";"2021";252;"ob.";""
2200000;"POMORSKIE";"z zestawem do wideokonferencji";"2009";;"ob.";""
2200000;"POMORSKIE";"z zestawem do wideokonferencji";"2013";;"ob.";""
2200000;"POMORSKIE";"z zestawem do wideokonferencji";"2017";73;"ob.";""
2200000;"POMORSKIE";"z zestawem do wideokonferencji";"2021";90;"ob.";""
2200000;"POMORSKIE";"z rzutnikiem slajdów";"2009";;"ob.";""
2200000;"POMORSKIE";"z rzutnikiem slajdów";"2013";248;"ob.";""
2200000;"POMORSKIE";"z rzutnikiem slajdów";"2017";;"ob.";""
2200000;"POMORSKIE";"z rzutnikiem slajdów";"2021";;"ob.";""
2200000;"POMORSKIE";"z zestawem wideo";"2009";;"ob.";""
2200000;"POMORSKIE";"z zestawem wideo";"2013";215;"ob.";""
2200000;"POMORSKIE";"z zestawem wideo";"2017";;"ob.";""
2200000;"POMORSKIE";"z zestawem wideo";"2021";;"ob.";""
2200000;"POMORSKIE";"z obsługą techniczną";"2009";146;"ob.";""
2200000;"POMORSKIE";"z obsługą techniczną";"2013";190;"ob.";""
2200000;"POMORSKIE";"z obsługą techniczną";"2017";178;"ob.";""
2200000;"POMORSKIE";"z obsługą techniczną";"2021";167;"ob.";""
2200000;"POMORSKIE";"z ekranem";"2009";210;"ob.";""
2200000;"POMORSKIE";"z ekranem";"2013";290;"ob.";""
2200000;"POMORSKIE";"z ekranem";"2017";313;"ob.";""
2200000;"POMORSKIE";"z ekranem";"2021";255;"ob.";""
2200000;"POMORSKIE";"z flipchartem (tablica suchościeralna)";"2009";162;"ob.";""
2200000;"POMORSKIE";"z flipchartem (tablica suchościeralna)";"2013";245;"ob.";""
2200000;"POMORSKIE";"z flipchartem (tablica suchościeralna)";"2017";280;"ob.";""
2200000;"POMORSKIE";"z flipchartem (tablica suchościeralna)";"2021";243;"ob.";""
2200000;"POMORSKIE";"z rzutnikiem pisma";"2009";;"ob.";""
2200000;"POMORSKIE";"z rzutnikiem pisma";"2013";147;"ob.";""
2200000;"POMORSKIE";"z rzutnikiem pisma";"2017";;"ob.";""
2200000;"POMORSKIE";"z rzutnikiem pisma";"2021";;"ob.";""
2200000;"POMORSKIE";"z komputerem/laptopem na wyposażeniu";"2009";;"ob.";""
2200000;"POMORSKIE";"z komputerem/laptopem na wyposażeniu";"2013";221;"ob.";""
2200000;"POMORSKIE";"z komputerem/laptopem na wyposażeniu";"2017";214;"ob.";""
2200000;"POMORSKIE";"z komputerem/laptopem na wyposażeniu";"2021";148;"ob.";""
2200000;"POMORSKIE";"z siecią WiFi na terenie obiektu";"2009";;"ob.";""
2200000;"POMORSKIE";"z siecią WiFi na terenie obiektu";"2013";522;"ob.";""
2200000;"POMORSKIE";"z siecią WiFi na terenie obiektu";"2017";994;"ob.";""
2200000;"POMORSKIE";"z siecią WiFi na terenie obiektu";"2021";903;"ob.";""
2200000;"POMORSKIE";"z komputerem";"2009";184;"ob.";""
2200000;"POMORSKIE";"z komputerem";"2013";;"ob.";""
2200000;"POMORSKIE";"z komputerem";"2017";;"ob.";""
2200000;"POMORSKIE";"z komputerem";"2021";;"ob.";""
2200000;"POMORSKIE";"z zestawem audio-wideo";"2009";198;"ob.";""
2200000;"POMORSKIE";"z zestawem audio-wideo";"2013";;"ob.";""
2200000;"POMORSKIE";"z zestawem audio-wideo";"2017";;"ob.";""
2200000;"POMORSKIE";"z zestawem audio-wideo";"2021";;"ob.";""
2200000;"POMORSKIE";"z rzutnikiem/projektorem";"2009";219;"ob.";""
2200000;"POMORSKIE";"z rzutnikiem/projektorem";"2013";;"ob.";""
2200000;"POMORSKIE";"z rzutnikiem/projektorem";"2017";;"ob.";""
2200000;"POMORSKIE";"z rzutnikiem/projektorem";"2021";;"ob.";""
2400000;"ŚLĄSKIE";"z salą konferencyjną";"2009";244;"ob.";""
2400000;"ŚLĄSKIE";"z salą konferencyjną";"2013";290;"ob.";""
2400000;"ŚLĄSKIE";"z salą konferencyjną";"2017";285;"ob.";""
2400000;"ŚLĄSKIE";"z salą konferencyjną";"2021";236;"ob.";""
2400000;"ŚLĄSKIE";"liczba sal konferencyjnych";"2009";537;"szt.";""
2400000;"ŚLĄSKIE";"liczba sal konferencyjnych";"2013";638;"szt.";""
2400000;"ŚLĄSKIE";"liczba sal konferencyjnych";"2017";657;"szt.";""
2400000;"ŚLĄSKIE";"liczba sal konferencyjnych";"2021";597;"szt.";""
2400000;"ŚLĄSKIE";"liczba miejsc w salach konferencyjnych";"2009";34069;"msc.";""
2400000;"ŚLĄSKIE";"liczba miejsc w salach konferencyjnych";"2013";39199;"msc.";""
2400000;"ŚLĄSKIE";"liczba miejsc w salach konferencyjnych";"2017";45081;"msc.";""
2400000;"ŚLĄSKIE";"liczba miejsc w salach konferencyjnych";"2021";40218;"msc.";""
2400000;"ŚLĄSKIE";"z nagłośnieniem";"2009";190;"ob.";""
2400000;"ŚLĄSKIE";"z nagłośnieniem";"2013";239;"ob.";""
2400000;"ŚLĄSKIE";"z nagłośnieniem";"2017";255;"ob.";""
2400000;"ŚLĄSKIE";"z nagłośnieniem";"2021";187;"ob.";""
2400000;"ŚLĄSKIE";"z mikrofonem bezprzewodowym";"2009";161;"ob.";""
2400000;"ŚLĄSKIE";"z mikrofonem bezprzewodowym";"2013";206;"ob.";""
2400000;"ŚLĄSKIE";"z mikrofonem bezprzewodowym";"2017";230;"ob.";""
2400000;"ŚLĄSKIE";"z mikrofonem bezprzewodowym";"2021";173;"ob.";""
2400000;"ŚLĄSKIE";"z projektorem multimedialnym";"2009";;"ob.";""
2400000;"ŚLĄSKIE";"z projektorem multimedialnym";"2013";;"ob.";""
2400000;"ŚLĄSKIE";"z projektorem multimedialnym";"2017";255;"ob.";""
2400000;"ŚLĄSKIE";"z projektorem multimedialnym";"2021";210;"ob.";""
2400000;"ŚLĄSKIE";"z zestawem do wideokonferencji";"2009";;"ob.";""
2400000;"ŚLĄSKIE";"z zestawem do wideokonferencji";"2013";;"ob.";""
2400000;"ŚLĄSKIE";"z zestawem do wideokonferencji";"2017";77;"ob.";""
2400000;"ŚLĄSKIE";"z zestawem do wideokonferencji";"2021";73;"ob.";""
2400000;"ŚLĄSKIE";"z rzutnikiem slajdów";"2009";;"ob.";""
2400000;"ŚLĄSKIE";"z rzutnikiem slajdów";"2013";226;"ob.";""
2400000;"ŚLĄSKIE";"z rzutnikiem slajdów";"2017";;"ob.";""
2400000;"ŚLĄSKIE";"z rzutnikiem slajdów";"2021";;"ob.";""
2400000;"ŚLĄSKIE";"z zestawem wideo";"2009";;"ob.";""
2400000;"ŚLĄSKIE";"z zestawem wideo";"2013";182;"ob.";""
2400000;"ŚLĄSKIE";"z zestawem wideo";"2017";;"ob.";""
2400000;"ŚLĄSKIE";"z zestawem wideo";"2021";;"ob.";""
2400000;"ŚLĄSKIE";"z obsługą techniczną";"2009";145;"ob.";""
2400000;"ŚLĄSKIE";"z obsługą techniczną";"2013";177;"ob.";""
2400000;"ŚLĄSKIE";"z obsługą techniczną";"2017";169;"ob.";""
2400000;"ŚLĄSKIE";"z obsługą techniczną";"2021";134;"ob.";""
2400000;"ŚLĄSKIE";"z ekranem";"2009";218;"ob.";""
2400000;"ŚLĄSKIE";"z ekranem";"2013";273;"ob.";""
2400000;"ŚLĄSKIE";"z ekranem";"2017";287;"ob.";""
2400000;"ŚLĄSKIE";"z ekranem";"2021";212;"ob.";""
2400000;"ŚLĄSKIE";"z flipchartem (tablica suchościeralna)";"2009";181;"ob.";""
2400000;"ŚLĄSKIE";"z flipchartem (tablica suchościeralna)";"2013";248;"ob.";""
2400000;"ŚLĄSKIE";"z flipchartem (tablica suchościeralna)";"2017";251;"ob.";""
2400000;"ŚLĄSKIE";"z flipchartem (tablica suchościeralna)";"2021";197;"ob.";""
2400000;"ŚLĄSKIE";"z rzutnikiem pisma";"2009";;"ob.";""
2400000;"ŚLĄSKIE";"z rzutnikiem pisma";"2013";160;"ob.";""
2400000;"ŚLĄSKIE";"z rzutnikiem pisma";"2017";;"ob.";""
2400000;"ŚLĄSKIE";"z rzutnikiem pisma";"2021";;"ob.";""
2400000;"ŚLĄSKIE";"z komputerem/laptopem na wyposażeniu";"2009";;"ob.";""
2400000;"ŚLĄSKIE";"z komputerem/laptopem na wyposażeniu";"2013";212;"ob.";""
2400000;"ŚLĄSKIE";"z komputerem/laptopem na wyposażeniu";"2017";207;"ob.";""
2400000;"ŚLĄSKIE";"z komputerem/laptopem na wyposażeniu";"2021";122;"ob.";""
2400000;"ŚLĄSKIE";"z siecią WiFi na terenie obiektu";"2009";;"ob.";""
2400000;"ŚLĄSKIE";"z siecią WiFi na terenie obiektu";"2013";404;"ob.";""
2400000;"ŚLĄSKIE";"z siecią WiFi na terenie obiektu";"2017";461;"ob.";""
2400000;"ŚLĄSKIE";"z siecią WiFi na terenie obiektu";"2021";399;"ob.";""
2400000;"ŚLĄSKIE";"z komputerem";"2009";141;"ob.";""
2400000;"ŚLĄSKIE";"z komputerem";"2013";;"ob.";""
2400000;"ŚLĄSKIE";"z komputerem";"2017";;"ob.";""
2400000;"ŚLĄSKIE";"z komputerem";"2021";;"ob.";""
2400000;"ŚLĄSKIE";"z zestawem audio-wideo";"2009";187;"ob.";""
2400000;"ŚLĄSKIE";"z zestawem audio-wideo";"2013";;"ob.";""
2400000;"ŚLĄSKIE";"z zestawem audio-wideo";"2017";;"ob.";""
2400000;"ŚLĄSKIE";"z zestawem audio-wideo";"2021";;"ob.";""
2400000;"ŚLĄSKIE";"z rzutnikiem/projektorem";"2009";219;"ob.";""
2400000;"ŚLĄSKIE";"z rzutnikiem/projektorem";"2013";;"ob.";""
2400000;"ŚLĄSKIE";"z rzutnikiem/projektorem";"2017";;"ob.";""
2400000;"ŚLĄSKIE";"z rzutnikiem/projektorem";"2021";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z salą konferencyjną";"2009";80;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z salą konferencyjną";"2013";103;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z salą konferencyjną";"2017";111;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z salą konferencyjną";"2021";99;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"liczba sal konferencyjnych";"2009";166;"szt.";""
2600000;"ŚWIĘTOKRZYSKIE";"liczba sal konferencyjnych";"2013";202;"szt.";""
2600000;"ŚWIĘTOKRZYSKIE";"liczba sal konferencyjnych";"2017";222;"szt.";""
2600000;"ŚWIĘTOKRZYSKIE";"liczba sal konferencyjnych";"2021";202;"szt.";""
2600000;"ŚWIĘTOKRZYSKIE";"liczba miejsc w salach konferencyjnych";"2009";13069;"msc.";""
2600000;"ŚWIĘTOKRZYSKIE";"liczba miejsc w salach konferencyjnych";"2013";17338;"msc.";""
2600000;"ŚWIĘTOKRZYSKIE";"liczba miejsc w salach konferencyjnych";"2017";18576;"msc.";""
2600000;"ŚWIĘTOKRZYSKIE";"liczba miejsc w salach konferencyjnych";"2021";15314;"msc.";""
2600000;"ŚWIĘTOKRZYSKIE";"z nagłośnieniem";"2009";58;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z nagłośnieniem";"2013";92;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z nagłośnieniem";"2017";99;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z nagłośnieniem";"2021";82;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z mikrofonem bezprzewodowym";"2009";50;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z mikrofonem bezprzewodowym";"2013";84;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z mikrofonem bezprzewodowym";"2017";97;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z mikrofonem bezprzewodowym";"2021";75;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z projektorem multimedialnym";"2009";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z projektorem multimedialnym";"2013";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z projektorem multimedialnym";"2017";96;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z projektorem multimedialnym";"2021";83;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z zestawem do wideokonferencji";"2009";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z zestawem do wideokonferencji";"2013";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z zestawem do wideokonferencji";"2017";33;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z zestawem do wideokonferencji";"2021";44;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z rzutnikiem slajdów";"2009";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z rzutnikiem slajdów";"2013";88;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z rzutnikiem slajdów";"2017";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z rzutnikiem slajdów";"2021";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z zestawem wideo";"2009";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z zestawem wideo";"2013";64;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z zestawem wideo";"2017";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z zestawem wideo";"2021";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z obsługą techniczną";"2009";46;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z obsługą techniczną";"2013";65;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z obsługą techniczną";"2017";58;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z obsługą techniczną";"2021";64;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z ekranem";"2009";65;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z ekranem";"2013";94;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z ekranem";"2017";102;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z ekranem";"2021";82;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z flipchartem (tablica suchościeralna)";"2009";47;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z flipchartem (tablica suchościeralna)";"2013";86;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z flipchartem (tablica suchościeralna)";"2017";89;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z flipchartem (tablica suchościeralna)";"2021";80;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z rzutnikiem pisma";"2009";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z rzutnikiem pisma";"2013";62;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z rzutnikiem pisma";"2017";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z rzutnikiem pisma";"2021";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z komputerem/laptopem na wyposażeniu";"2009";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z komputerem/laptopem na wyposażeniu";"2013";81;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z komputerem/laptopem na wyposażeniu";"2017";80;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z komputerem/laptopem na wyposażeniu";"2021";62;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z siecią WiFi na terenie obiektu";"2009";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z siecią WiFi na terenie obiektu";"2013";141;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z siecią WiFi na terenie obiektu";"2017";185;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z siecią WiFi na terenie obiektu";"2021";163;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z komputerem";"2009";57;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z komputerem";"2013";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z komputerem";"2017";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z komputerem";"2021";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z zestawem audio-wideo";"2009";55;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z zestawem audio-wideo";"2013";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z zestawem audio-wideo";"2017";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z zestawem audio-wideo";"2021";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z rzutnikiem/projektorem";"2009";63;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z rzutnikiem/projektorem";"2013";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z rzutnikiem/projektorem";"2017";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"z rzutnikiem/projektorem";"2021";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z salą konferencyjną";"2009";127;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z salą konferencyjną";"2013";176;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z salą konferencyjną";"2017";181;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z salą konferencyjną";"2021";137;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"liczba sal konferencyjnych";"2009";277;"szt.";""
2800000;"WARMIŃSKO-MAZURSKIE";"liczba sal konferencyjnych";"2013";356;"szt.";""
2800000;"WARMIŃSKO-MAZURSKIE";"liczba sal konferencyjnych";"2017";409;"szt.";""
2800000;"WARMIŃSKO-MAZURSKIE";"liczba sal konferencyjnych";"2021";303;"szt.";""
2800000;"WARMIŃSKO-MAZURSKIE";"liczba miejsc w salach konferencyjnych";"2009";20779;"msc.";""
2800000;"WARMIŃSKO-MAZURSKIE";"liczba miejsc w salach konferencyjnych";"2013";31480;"msc.";""
2800000;"WARMIŃSKO-MAZURSKIE";"liczba miejsc w salach konferencyjnych";"2017";31435;"msc.";""
2800000;"WARMIŃSKO-MAZURSKIE";"liczba miejsc w salach konferencyjnych";"2021";24688;"msc.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z nagłośnieniem";"2009";99;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z nagłośnieniem";"2013";155;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z nagłośnieniem";"2017";156;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z nagłośnieniem";"2021";110;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z mikrofonem bezprzewodowym";"2009";84;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z mikrofonem bezprzewodowym";"2013";151;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z mikrofonem bezprzewodowym";"2017";147;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z mikrofonem bezprzewodowym";"2021";106;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z projektorem multimedialnym";"2009";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z projektorem multimedialnym";"2013";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z projektorem multimedialnym";"2017";159;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z projektorem multimedialnym";"2021";112;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z zestawem do wideokonferencji";"2009";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z zestawem do wideokonferencji";"2013";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z zestawem do wideokonferencji";"2017";44;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z zestawem do wideokonferencji";"2021";42;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z rzutnikiem slajdów";"2009";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z rzutnikiem slajdów";"2013";137;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z rzutnikiem slajdów";"2017";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z rzutnikiem slajdów";"2021";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z zestawem wideo";"2009";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z zestawem wideo";"2013";107;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z zestawem wideo";"2017";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z zestawem wideo";"2021";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z obsługą techniczną";"2009";78;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z obsługą techniczną";"2013";117;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z obsługą techniczną";"2017";112;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z obsługą techniczną";"2021";78;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z ekranem";"2009";116;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z ekranem";"2013";164;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z ekranem";"2017";173;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z ekranem";"2021";119;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z flipchartem (tablica suchościeralna)";"2009";99;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z flipchartem (tablica suchościeralna)";"2013";150;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z flipchartem (tablica suchościeralna)";"2017";167;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z flipchartem (tablica suchościeralna)";"2021";118;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z rzutnikiem pisma";"2009";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z rzutnikiem pisma";"2013";82;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"z rzutnikiem pisma";"2017";;"ob.";""
