"Kod";"Nazwa";"Wyszczególnienie";"Kategorie";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ****";"2013";41.4;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ****";"2014";42.2;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ****";"2015";44.3;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ****";"2016";46.7;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ****";"2017";47.1;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ****";"2018";48.1;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ****";"2019";49.1;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ****";"2020";27.9;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ****";"2021";34.7;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ****";"2022";46.8;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2002";32.00;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2003";32.50;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2004";34.65;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2005";36.85;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2006";37.13;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2007";37.96;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2008";35.93;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2009";32.33;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2010";31.46;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2011";32.8;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2012";32.7;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2013";33.2;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2014";34.2;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2015";36.5;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2016";38.5;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2017";39.9;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2018";40.8;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2019";41.5;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2020";25.0;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2021";29.9;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii ***";"2022";40.7;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2002";28.60;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2003";29.30;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2004";31.17;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2005";33.35;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2006";34.19;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2007";36.43;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2008";35.39;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2009";32.01;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2010";31.44;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2011";31.5;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2012";30.3;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2013";31.1;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2014";31.3;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2015";32.7;"%";""
